title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Stainless Steel Butt-Weld Pipe Fittings From Italy: Rescission of Antidumping Duty Administrative Review; 2019-2020,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) is rescinding the administrative review of the antidumping duty order on stainless steel butt-weld pipe fittings from Italy for the period February 1, 2019, through January 31, 2020, based on the timely withdrawal of the request for review.", 2020-21007,https://www.federalregister.gov/documents/2020/09/23/2020-21007/stainless-steel-butt-weld-pipe-fittings-from-italy-rescission-of-antidumping-duty-administrative,https://www.govinfo.gov/content/pkg/FR-2020-09-23/pdf/2020-21007.pdf,09/23/2020
"Prestressed Concrete Steel Wire From the Republic of Turkey: Preliminary Affirmative Countervailing Duty Determination, Preliminary Affirmative Critical Circumstances Determination, in Part",Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of prestressed concrete steel wire (PC strand) from the Republic of Turkey (Turkey). The period of investigation is January 1, 2019 through December 31, 2019. Interested parties are invited to comment on this preliminary determination.", 2020-20692,https://www.federalregister.gov/documents/2020/09/21/2020-20692/prestressed-concrete-steel-wire-from-the-republic-of-turkey-preliminary-affirmative-countervailing,https://www.govinfo.gov/content/pkg/FR-2020-09-21/pdf/2020-20692.pdf,09/21/2020
Certain Hot-Rolled Steel Flat Products From Japan: Final Results of Antidumping Duty Administrative Review and Final Determination of No Shipments; 2017-2018,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) determines that mandatory respondents, Nippon Steel Corporation (NSC) and Tokyo Steel Manufacturing Co., Ltd. (Tokyo Steel), producers and exporters of hot- rolled steel flat products (hot-rolled steel) from Japan, did not sell subject merchandise in the United States at prices below normal value during the period of review (POR) October 1, 2017 through September 30, 2018. In addition, Commerce determines that Honda Trading Canada, Inc. (Honda) had no shipments during the POR.", 2020-20426,https://www.federalregister.gov/documents/2020/09/16/2020-20426/certain-hot-rolled-steel-flat-products-from-japan-final-results-of-antidumping-duty-administrative,https://www.govinfo.gov/content/pkg/FR-2020-09-16/pdf/2020-20426.pdf,09/16/2020
Steel Import Monitoring and Analysis System,Rule,Commerce Department; International Trade Administration,"In this final rule, U.S. Department of Commerce (Commerce) is modifying its regulations pertaining to the Steel Import Monitoring and Analysis (SIMA) system to require steel import license applicants to identify the country where the steel used in the manufacture of the imported steel product was melted and poured (the country of melt and pour); clarify how certain import data collected from the licenses will be aggregated and reported on the public SIMA monitor; harmonize the scope of steel products subject to the SIMA licensing requirement with the scope of steel products subject to Section 232 tariffs; extend the SIMA system indefinitely by eliminating the regulatory provision concerning the duration of the SIMA system; and codify eligibility for use of the low-value license for certain steel entries up to $5,000. In addition, Commerce is making corresponding changes to the public SIMA monitor that do not require regulatory modifications and amending the steel import license application to include a new field for the country of melt and pour. Finally, Commerce is modernizing the SIMA system, including both the online license application platform and the public SIMA monitor.", 2020-19753,https://www.federalregister.gov/documents/2020/09/11/2020-19753/steel-import-monitoring-and-analysis-system,https://www.govinfo.gov/content/pkg/FR-2020-09-11/pdf/2020-19753.pdf,09/11/2020
Certain Oil Country Tubular Goods From India: Final Results of Antidumping Duty Administrative Review and Determination of No Shipments; 2018-2019,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) determines that Jindal SAW Ltd., the sole company for which a review was requested, made no shipments of certain oil country tubular goods (OCTG) from India during the period of review (POR) from September 1, 2018 through August 31, 2019.", 2020-20072,https://www.federalregister.gov/documents/2020/09/11/2020-20072/certain-oil-country-tubular-goods-from-india-final-results-of-antidumping-duty-administrative-review,https://www.govinfo.gov/content/pkg/FR-2020-09-11/pdf/2020-20072.pdf,09/11/2020
"Mattresses From the People's Republic of China: Preliminary Affirmative Countervailing Duty Determination, and Alignment of Final Determination With Final Antidumping Duty Determination",Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of mattresses from the People's Republic of China. The period of investigation is January 1, 2019 through December 31, 2019. Interested parties are invited to comment on this preliminary determination.", 2020-20073,https://www.federalregister.gov/documents/2020/09/11/2020-20073/mattresses-from-the-peoples-republic-of-china-preliminary-affirmative-countervailing-duty,https://www.govinfo.gov/content/pkg/FR-2020-09-11/pdf/2020-20073.pdf,09/11/2020
Standard Steel Welded Wire Mesh From Mexico: Postponement of Preliminary Determination in the Countervailing Duty Investigation,Notice,Commerce Department; International Trade Administration,"", 2020-19901,https://www.federalregister.gov/documents/2020/09/09/2020-19901/standard-steel-welded-wire-mesh-from-mexico-postponement-of-preliminary-determination-in-the,https://www.govinfo.gov/content/pkg/FR-2020-09-09/pdf/2020-19901.pdf,09/09/2020
Pacific Ocean AquaFarms Environmental Impact Statement,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"NOAA is publishing this Notice of Intent (NOI) to prepare an Environmental Impact Statement (EIS) for the proposed development of a commercial-scale finfish aquaculture facility to be located in Federal waters off the coast of southern California. The proposed facility would require two Federal permits: A Section 402 Clean Water Act (CWA) permit, and a Section 10 Rivers and Harbor Act (RHA) permit, over which the U.S. Environmental Protection Agency (EPA) and U.S. Army Corps of Engineers (USACE), respectively, have authority. The EPA and USACE will act as cooperating agencies for purposes of this EIS. This NOI initiates the public scoping process for the EIS during which time interested parties are invited to provide comments on the proposed project, its potential to effect the human environment, means for avoiding, minimizing, or mitigating those effects, the preliminary reasonable range of alternatives, and any additional reasonable alternatives that should be considered.", 2020-19921,https://www.federalregister.gov/documents/2020/09/09/2020-19921/pacific-ocean-aquafarms-environmental-impact-statement,https://www.govinfo.gov/content/pkg/FR-2020-09-09/pdf/2020-19921.pdf,09/09/2020
"Prestressed Concrete Steel Wire Strand From Indonesia, Italy, Malaysia, South Africa, Spain, Tunisia, and Ukraine: Postponement of Preliminary Determinations in the Less-Than-Fair-Value Investigations",Notice,Commerce Department; International Trade Administration,"", 2020-19786,https://www.federalregister.gov/documents/2020/09/08/2020-19786/prestressed-concrete-steel-wire-strand-from-indonesia-italy-malaysia-south-africa-spain-tunisia-and,https://www.govinfo.gov/content/pkg/FR-2020-09-08/pdf/2020-19786.pdf,09/08/2020
Certain Hot-Rolled Steel Flat Products From the Republic of Korea: Partial Rescission of Countervailing Duty Administrative Review; 2018,Notice,Commerce Department; International Trade Administration,"The Department of Commerce (Commerce) is partially rescinding the administrative review of the countervailing duty order on certain hot-rolled steel flat products (hot-rolled steel) from the Republic of Korea for the period of review (POR) January 01, 2018 through December 31, 2018.", 2020-19650,https://www.federalregister.gov/documents/2020/09/04/2020-19650/certain-hot-rolled-steel-flat-products-from-the-republic-of-korea-partial-rescission-of,https://www.govinfo.gov/content/pkg/FR-2020-09-04/pdf/2020-19650.pdf,09/04/2020
